actor,instrument,objective,sector,climate_amount_usd_m
Netherlands / Ministry of Foreign Affairs of the Netherlands,grant,both,agriculture_land_use,197.703766
France / MINEFI/NATEXIS,debt,mitigation,water,194.636678
Germany / Federal Ministry for Economic Affairs and Climate Action,grant,both,transport,193.4593356
Netherlands / Ministry of Foreign Affairs of the Netherlands,grant,adaptation,water,191.9005248
United States / Agency for International Development,grant,adaptation,finance_policy,191.57465340000002
Norway / Ministry of Foreign Affairs,grant,mitigation,finance_policy,190.2985196
EU Institutions / European Commission,grant,mitigation,water,189.326534
Germany / Federal Ministry for Economic Cooperation and Development,grant,both,transport,188.65388760000002
Inter American Development Bank,other,mitigation,waste,184.799205
"United Kingdom / Foreign, Commonwealth and Development Office",grant,both,other,182.3288882
Germany / Federal Ministry for Economic Cooperation and Development,grant,both,agriculture_land_use,181.2245468
"United Kingdom / Foreign, Commonwealth and Development Office",grant,adaptation,other,180.1429304
EU Institutions / European Commission,grant,mitigation,other,178.1737874
Germany / Deutsche Investitions- und Entwicklungsgesellschaft mbH (German Investment and Development Company),debt,mitigation,finance_policy,174.47656120000002
Germany / Federal Ministry for Economic Cooperation and Development,grant,adaptation,buildings,174.0840662
European Investment Bank,equity,both,transport,169.19211610333394
Germany / Federal Ministry for Economic Cooperation and Development,grant,mitigation,transport,167.5733636
"United Kingdom / Foreign, Commonwealth and Development Office",equity,mitigation,finance_policy,167.4460206
Netherlands / Ministry of Foreign Affairs of the Netherlands,grant,both,other,164.99527220000002
United States / Agency for International Development,grant,adaptation,transport,163.6990738
"Italy / Ministry of Environment and Energy Security, funds administered by CDP",debt,mitigation,finance_policy,162.232317
EU Institutions / European Commission,grant,adaptation,industry_mining,160.3286026
European Investment Bank,guarantee,mitigation,buildings,157.662561804924
Inter American Development Bank,other,both,water,157.34396950000001
Austria / Austrian Development Bank,debt,mitigation,energy,156.790544
Norway / Norwegian Agency for Development Co-operation,grant,mitigation,agriculture_land_use,153.670641
European Investment Bank,debt,both,health,153.45139
European Investment Bank,guarantee,both,water,152.18059266597305
Asian Development Bank,debt,adaptation,other,150.61794700000002
OPEC Fund for International Development / OPEC Fund,debt,both,energy,150.0
Netherlands / Ministry of Foreign Affairs of the Netherlands,grant,both,finance_policy,149.6768768
Netherlands / Ministry of Foreign Affairs of the Netherlands,grant,both,water,149.09102539999998
France / French Development Agency,grant,adaptation,other,148.036773
Netherlands / Ministry of Foreign Affairs of the Netherlands,grant,both,energy,147.5081496
Global Environment Facility / GEF Trust Fund,grant,both,finance_policy,147.0367316
African Development Bank,other,adaptation,transport,146.9691384187502
Canada / Global Affairs Canada,debt,mitigation,energy,146.715328
Korea / Export-Import Bank of Korea,debt,mitigation,transport,146.682
United States / Agency for International Development,grant,mitigation,finance_policy,146.66991
World Bank (IBRD/IDA),debt,adaptation,energy,145.9
United States / Millennium Challenge Corporation,grant,mitigation,energy,145.831846
African Development Bank,other,mitigation,industry_mining,145.74942253066
World Bank (IBRD/IDA),grant,both,buildings,145.0
World Bank (IBRD/IDA),grant,mitigation,agriculture_land_use,144.195
United Kingdom / British International Investment,debt,mitigation,energy,143.4203744
France / French Development Agency,debt,adaptation,industry_mining,143.158917
EU Institutions / European Commission,grant,mitigation,finance_policy,140.58436840000002
Japan / Ministry of Foreign Affairs,grant,adaptation,transport,139.8359354
Germany / Federal Ministry for Economic Cooperation and Development,equity,mitigation,energy,138.412981
European Investment Bank,equity,mitigation,other,136.66276374801288
"Italy / Ministry of Environment and Energy Security, funds administered by CDP",debt,mitigation,energy,135.193597
"United Kingdom / Foreign, Commonwealth and Development Office",grant,adaptation,transport,134.8798382
United Kingdom / Department of Energy and Climate Change,grant,both,energy,134.071296
"United Kingdom / Foreign, Commonwealth and Development Office",grant,both,energy,132.05404000000001
