scenario_id,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031,year_2032,year_2033,year_2034,year_2035,year_2036,year_2037,year_2038,year_2039,year_2040,year_2041,year_2042,year_2043,year_2044,year_2045,year_2046,year_2047,year_2048,year_2049,year_2050,year_2051,year_2052,year_2053,year_2054
30,0.051828674312963056,0.05957786989929851,0.04395431963531199,0.046015821346258916,0.048480519400387154,0.048139390932861306,0.05228778731648863,0.05369321008040982,0.05674603606141136,0.06507339226810742,0.06691222788904087,0.04881660637175146,0.031072103211340855,0.015041856720014176,0.01990413759240042,0.020320362148911995,0.030479948970617413,0.03079758957032874,0.024161833253089415,0.012059150044774647,0.02591400673109967,0.04379683515600681,0.053351725562821806,0.05385103112530142,0.06935873833578049,0.06853623558661388,0.056055643234818056,0.04067404228727968,0.026550285425237623,0.010967269459022516
31,0.044184486461197825,0.040195429267380824,0.03745702288153603,0.051974613730941206,0.05056891436896895,0.05172816793212669,0.05343139414292392,0.045460133529178035,0.04304007707216417,0.029762465996481843,0.04299912046745968,0.044432827049734544,0.052537958368071666,0.04741621547860218,0.04368657012449315,0.033303518178667064,0.018145613337701382,0.01879977459812401,0.03375300384193934,0.033806877174203824,0.03907233416627229,0.05400802982416186,0.04646836252478925,0.0314992034399981,0.025472801047144722,0.02358830419414488,0.033477154976443095,0.019258850369158184,0.03226092766305375,0.042794876497805466
32,0.04386700332313706,0.0492126846148875,0.05170943777474165,0.05980274725974381,0.05755793527524096,0.05588275388824276,0.054009216728650215,0.036669518673444146,0.04004096083847067,0.03040518156452897,0.0220880476295855,0.027373709347046863,0.027656095691233718,0.035150713611537265,0.03318422773622419,0.03789793662031121,0.030928762051225467,0.030856566757028348,0.02051410923417004,0.018572192446138565,0.022520014048991677,0.030088500367893817,0.025657025485485888,0.032588093341724376,0.030796372847046487,0.03420107639459223,0.02447403709167601,0.013938148199624599,0.026125201016460455,0.029486665891364776
33,0.04296241332560804,0.04017351667257613,0.04589553698369496,0.047622620397066356,0.04694200178669849,0.06127625112348602,0.05901842704236441,0.04357414622518087,0.05776756708526737,0.05669564715478153,0.04676425822751719,0.033071066839601176,0.03800580769531616,0.049664532537573636,0.05083313450189843,0.061006400618268564,0.07044653879286446,0.06794975878187244,0.049750202182256016,0.048294027084795556,0.043434488552773126,0.03702278812290273,0.04437980275674013,0.0578468020895479,0.041045364657835696,0.04192053817913099,0.028600651047092113,0.02421397904728812,0.01486143523403518,0.0024965786743002226
34,0.04725166977807816,0.0470468293244732,0.03980697991651037,0.038133158330041425,0.045884126350297476,0.03790404917988885,0.02175548927823306,0.03200249176605106,0.03185009138931885,0.031019510506731157,0.04837370060651783,0.040160971489673035,0.024361447428424672,0.013936349781066336,0.01783435683776821,0.03626631876194193,0.04072696345144303,0.03396462141498785,0.021376069907606952,0.03181563139930366,0.029156694062807145,0.024580239485600085,0.012518789402421574,0.021108547503955893,0.023859467741219883,0.014425892001932443,0.022600074545597988,0.031042195403809703,0.04495653459333221,0.04420691506882981
35,0.04879064838851435,0.05303187244072798,0.05078714765861567,0.04259729311907559,0.029025880914715346,0.01997367031885744,0.03948358981171364,0.025152081777502056,0.029780527119371944,0.03486388458214214,0.03496394729960144,0.040349438378135524,0.03132750360975323,0.02405146602168083,0.03095249237831276,0.03870586770338915,0.04231554186177691,0.047617822768730375,0.04664086325321264,0.03894328502947596,0.03538076789019084,0.03928513367118714,0.04644149010314691,0.04348432575094825,0.03966000024388212,0.039611983004919506,0.0437538158118331,0.05018947247203742,0.041580782444861276,0.03806807714161761
36,0.04506188913738705,0.041013040949538185,0.05927239092616453,0.05077571534411826,0.046309330012705416,0.0357588782114571,0.03539845771466783,0.02493892112020107,0.022262219850650314,0.026619911553706677,0.03241016735307024,0.04290892408635331,0.025153592360910543,0.029895997500783106,0.021296274539842418,0.006859014805378531,0.010133144934371386,0.027972336191673934,0.027123159097449,0.025844179914004554,0.03426693211102733,0.03530628568515847,0.024047338395798375,0.032374418770109034,0.027761668775120492,0.03172965572351917,0.030940458885189377,0.035308971233829235,0.03433963873759079,0.031023159533462942
37,0.042883262079464086,0.051269818168472134,0.048207729856567835,0.050357549983468794,0.03601693837820966,0.03184403293095432,0.04445208941144076,0.04671321627334306,0.050748977359520914,0.04489414864170251,0.05103649667715409,0.038612724010304605,0.045776011427139135,0.029200368547029676,0.03699168192540929,0.021401529082607777,0.017423263018165124,0.009725821008888512,0.024141330637917936,0.029712861555616393,0.02576827949702534,0.030724664249267147,0.03778926612979615,0.03278989407815716,0.04651923196031223,0.04877488519113669,0.04933888941166676,0.05841879879358555,0.049207769381590556,0.042118350164759635
38,0.042930287863277954,0.03537836283511205,0.03247357175478932,0.029321938790294176,0.03562817919424993,0.02942593865509794,0.016644962042223647,0.022563511773105893,0.02345890580080906,0.025862323482411253,0.019793061339946773,0.01674433693178294,0.02211040595669068,0.02814252912984561,0.026133400528729287,0.037773348493866044,0.034703747969437024,0.03382006288499643,0.026510443108387884,0.019436692403761214,0.019872688197459795,0.014647865808823341,0.018273356507220565,0.01689243028727361,0.032816307617384924,0.029332964174196608,0.03407576972394188,0.031388520209347785,0.03141021957243124,0.03255703570421669
39,0.04735550987382578,0.04856108289928703,0.04519773625074534,0.05010998670074397,0.060062235602032804,0.05385197759425093,0.05084264801226627,0.04100615827156986,0.04811332453765475,0.04575753109447946,0.0358646599587433,0.0515782795159375,0.05060454618288119,0.050270043430622725,0.03769220076176474,0.04972824977680773,0.04405228724024038,0.033099887577725425,0.03809885942190767,0.039820541200924105,0.025700983308124446,0.02948280169394752,0.03429205400025852,0.03534357261629812,0.02799373031165345,0.040774322832628315,0.022642894445282554,0.025325725190902676,0.04800186677076773,0.04331795201694777
40,0.047633494023962,0.05376614763871136,0.050708544306483104,0.06469790553659706,0.05261626318293198,0.05828404798513273,0.047162927505331124,0.04022272588032013,0.026223104222832597,0.03522604730680638,0.03394718281045786,0.03464589627518347,0.035535366907541784,0.02524075474946392,0.019610937233037737,0.029450317891886835,0.04672439688897164,0.03064402180150739,0.03688943566195508,0.029826993951344055,0.03701515147694845,0.04572419899766962,0.058946882985647125,0.03767297881463269,0.04361597441386818,0.04156798682939421,0.0581365172565404,0.03531907517590391,0.0332509889395618,0.022100069612041764
41,0.04703319431526726,0.051275134980079635,0.047142622172633424,0.04481970612454901,0.044506128063054214,0.05530849349651533,0.05431379653353903,0.03706213742448097,0.04175713223516481,0.053105436422378915,0.057795367360155135,0.050957111287022544,0.04937814763789546,0.04554954697620606,0.03217867767609549,0.0307448296672901,0.040401607421618135,0.04488512618515292,0.04320184284305001,0.04634092428121704,0.04001673127251508,0.04504591392032094,0.03513858849984295,0.0385973848056837,0.03384246256794267,0.04825024981984624,0.033823576331360794,0.02984330301743118,0.029185273202632294,0.034485852628870474
42,0.04340720238848559,0.058969499307232165,0.05310246842539495,0.03843351364359672,0.04538898042743062,0.04759954296437351,0.04726258109474718,0.048120985335660386,0.03940673235425812,0.03704219900926721,0.045875396868808906,0.03656225054425852,0.03357415284053175,0.02451857991741145,0.024400150003647775,0.038951837275769084,0.03845606996169599,0.04107086348371475,0.03927517777140664,0.02737635929154709,0.02014512157166875,0.022294915049537,0.019048245276186843,0.02948713307594625,0.021927021931318756,0.032800334793976045,0.026292688308920627,0.01321844684750029,0.02113044455812792,0.02298995934832336
43,0.046100215479551836,0.039280884264056654,0.029008131877248163,0.022769395343036455,0.012613626358561135,0.039391272528467636,0.04231902407165102,0.034579697386868766,0.0415985827506897,0.036937895684603275,0.04340760785925575,0.04259507795718525,0.03856666082641109,0.048464804539859865,0.0558059882231616,0.05457597421831642,0.0482660384357353,0.04576843489219525,0.04317920466220636,0.035918877089701304,0.042380088517337676,0.03918828548205872,0.038659037293856564,0.024887287121434346,0.023028776050216533,0.02976518357083713,0.04107423959471357,0.028428886982376472,0.024074362954440466,0.04063552077133554
44,0.045753788937773855,0.03413002753959754,0.029506605581156843,0.040063885634801004,0.03621994464518679,0.034754217238610836,0.027905022247398742,0.027376927164573375,0.030964167608722185,0.028994939755738337,0.031373275978630606,0.04677176581877722,0.04217601330176318,0.04146064543701383,0.03411768039362391,0.043549386199952515,0.04663817987835242,0.033918676203792124,0.027093727956626717,0.023992365710486765,0.027240710161772493,0.018473343904954427,0.03677125462356067,0.03779491829500612,0.027113848114041456,0.020743731149415794,0.02617172310342393,0.03451702262130646,0.037153485517390936,0.0433224992919187
45,0.04605979730053871,0.03740744611822246,0.03814328956137867,0.038987236376569034,0.04261313175867231,0.028700620978888362,0.03198596521788218,0.037089838664756,0.03310332214772839,0.046323353498025424,0.05278658240192091,0.04900457173244997,0.047606249735542235,0.03821661814755242,0.019482276051030083,0.01008425827330716,0.008270353715919491,0.01934727867628611,0.016305703365641987,0.020603983251282862,0.019472230374249444,0.01984849377454679,0.026895798738291826,0.02834003841301521,0.03854540454681675,0.02706939973448831,0.023982976798576583,0.014556754023929142,0.015275240857830687,0.03000178074679589
46,0.048018017844196244,0.0519185108719483,0.047448019787692954,0.05252792762386929,0.02532249798997648,0.03894728590836084,0.03766071400515345,0.03595112400015117,0.033553391999673624,0.040380227238440376,0.03866583058504659,0.046310866893740955,0.04606723572070777,0.03243164022724638,0.03631914015448477,0.03862749209489892,0.022003023342950727,0.016106094326593205,0.02715207063854721,0.04105010700524587,0.04584149603455982,0.039590306912060225,0.03865158263087695,0.04953611950268455,0.03778220388564359,0.049940264350889524,0.041234654748448125,0.02656140088482314,0.033653904340006466,0.04906013317157835
47,0.04607451815667572,0.049355079016827494,0.042574418643163914,0.0380763657181382,0.031290472611909696,0.019692289735519578,0.030548783209900815,0.027744162789796002,0.024508237747481596,0.01378601038609965,0.027224495576710875,0.030586163997498594,0.05488072654046476,0.051178737850730315,0.03666697097680548,0.05030343201022052,0.05091028821607735,0.045997617534983534,0.03928105175614714,0.04469096428831348,0.0383355973522307,0.042498963097951405,0.041537922962845066,0.05006794313804325,0.05544410273585955,0.05563540258661414,0.041649758605433754,0.025474309847870545,0.020597323207523957,0.03156852509522377
48,0.04744047219956736,0.04707761894773135,0.04420747510851994,0.05005191479421306,0.05569591124300845,0.044224555798127826,0.05044665178040446,0.030399496439906627,0.0397396130630895,0.023333706130379092,0.03610306551467009,0.027918938079889925,0.04410835164099723,0.05192698063465376,0.05258584175803808,0.050673716284685755,0.04577996965822361,0.03675240822235437,0.03984832955957626,0.03445448059225366,0.02185845949488173,0.021070776360044088,0.018219586234158244,0.031165248270931083,0.033979266744483295,0.03238076008853771,0.02717544044565938,0.03633940100437916,0.03130577865148059,0.03147074997874531
